Ragione sociale;ID;Indirizzo sede legale - Regione;ROA;EBITDA/V;ILG;CCN/ATT;IND_FIN;INT_TERZI
EDILMAG S.R.L.;ID23_20;Marche;0.263425026;0.480711366;2.663421265;0.445981765;0.446358915;0.872278581
ISPARE S.R.L.;ID24_20;Lombardia;-0.341943274;-0.029093622;0.944241944;-0.048512113;-0.174007315;-0.148216551
CENTRALE VALUTATIVA S.R.L.;ID25_20;Lazio;0.075729726;0.150467538;1.34718051;0.247776703;0.286317361;0.401183027
IMMERXIVE S.R.L.;ID26_20;Toscana;0.053370168;0.166694602;1.566604709;0.283969785;0.387065526;0.772311567
YOOGO S.R.L.;ID27_20;Veneto;-0.016979867;-0.011074052;0.951641319;-0.044702393;0.075391665;0.081558084
GA.RE. DIGITAL S.R.L.;ID28_20;Lombardia;-0.153355259;-0.078707268;0.643535676;-0.356436456;-0.948038495;-0.505230814
ELABORA NEXT S.R.L.;ID29_20;Puglia;0.009923183;0.137758724;0.895877705;-0.060818322;0.029169004;0.042489842
BESQUARE SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA;ID30_20;Veneto;0.161417701;0.219707748;2.314455399;0.517420917;0.598701978;1.520941697
SOLHEA SRL;ID31_20;Trentino-Alto Adige;0.008908521;0.1235692;1.699425936;0.282730267;0.287425628;0.438671616
2CAFFE' S.R.L.;ID32_20;Lombardia;0.058554585;0.046031267;4.933887255;0.786071193;0.744802714;2.926096998
WORTH WEARING S.R.L. SOCIETA' BENEFIT;ID33_20;Lazio;-0.490113366;-0.216757173;1.414012513;0.281016946;-0.431022164;-0.301198804
DORIAN S.R.L. START-UP COSTITUITA A NORMA DELL'ART. 4 COMMA 10 BIS DEL DECRETO LEGGE 24 GENNAIO 2015 N.3;ID34_20;Toscana;0.132594394;0.095044302;3.111720475;0.644529948;0.595600933;1.951410775
3 UP S.R.L.;ID35_20;Sicilia;-0.024228809;0.012703144;4.623030961;0.764070972;0.127943385;0.241814814
PGUM S.R.L.;ID36_20;Trentino-Alto Adige;-0.272061804;-0.367277373;2.870078849;0.606933665;-0.071042684;-0.067112272
